"Nombre completo";"Entidad";"Complementos - Identificador";"Dirección";"Complementos - Teléfono";"Complementos - Está operativa";"Complementos - Número aprox. de usuarios";"Fecha de creación";
"Capitulares > Planta 0 > Archivo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Correo y reparto almacén temporal CPD";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Despacho compartido: Delegación de fomento y Delegación de movilidad, educación e infancia";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Estadística (unidad)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Protocolo (unidad)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Recepción";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Taller de mantenimiento";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 0 > Turismo (departamento)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Capitulares > Planta 1 > Departamento Alcaldía";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Dirección Gral. Presidencia y Org. Común";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Grupo municipal Ciudadanos Córdoba";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Grupo municipal Ganemos Córdoba";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Grupo municipal Hacemos Córdoba";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Grupo municipal P.S.O.E.";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Grupo municipal Partido Popular";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Grupo municipal Podemos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Grupo municipal Unión Cordobesa";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Grupo municipal Vox";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Oficialía mayor";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Capitulares > Planta 1 > Presidencia";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
