"Nombre completo";"Entidad";"Complementos - Identificador";"Dirección";"Complementos - Teléfono";"Complementos - Está operativa";"Complementos - Número aprox. de usuarios";"Fecha de creación";
"CCM Fuensanta > Planta 0 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Fuensanta > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Fuensanta > Planta 0 > Consejo de distrito";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Fuensanta > Planta 0 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Fuensanta > Planta 0 > Sala de asociaciones";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Fuensanta > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Fuensanta > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Fuensanta > Planta 0 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Lepanto";"Ayuntamiento de Córdoba > Informática";"S019";"Ronda del Marrubial, s/n. 14071 Córdoba";"957764731";"Sí";"15";"";
"CCM Lepanto > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Lepanto > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Lepanto > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Lepanto > Planta 0 > Escuela de participacion";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Lepanto > Planta 0 > Inclusión social";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Lepanto > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Lepanto > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Lepanto > Planta 1 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Lepanto > Planta 1 > Casa ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Lepanto > Planta 1 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Lepanto > Planta 1 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Levante";"Ayuntamiento de Córdoba > Informática";"S054";"Plaza Mahatma Gandhi, s/n (edificio de la antigua prisión provincial). 14071 Córdoba";"";"Sí";"20";"";
"CCM Levante > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Levante > Planta 0 > Almacén temporal CPD";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Levante > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Levante > Planta 0 > Consejo de distrito";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Levante > Planta 0 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Levante > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Levante > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Levante > Planta 1 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Levante > Planta 1 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Levante Este";"Ayuntamiento de Córdoba > Informática";"S106";"Calle Miguel de Molina esquina calle Concha Piquer";"";"No";"0";"2025-03-28 20:53";
"CCM Mercado Alcázar";"Ayuntamiento de Córdoba > Informática";"S103";"Avda. Dr. Fleming";"";"Sí";"0";"2022-11-15 13:26";
"CCM Moreras";"Ayuntamiento de Córdoba > Informática";"S021";"Calle Músico Tomás Luis de Victoria, s/n. 14011 Córdoba";"957279171";"Sí";"10";"";
"CCM Moreras > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Moreras > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Moreras > Planta 0 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Moreras > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Moreras > Planta 0 > Juventud (departamento)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Moreras > Planta 0 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Moreras > Planta 0 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Moreras > Planta 0 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Moreras > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Moreras > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Noroeste (en obras)";"Ayuntamiento de Córdoba > Informática";"S100";"C/ Historiador Doy esquina con c/ Fernando Amor y Mayor.";"";"No";"0";"2023-12-19 12:48";
"CCM Norte";"Ayuntamiento de Córdoba > Informática";"S016";"Avenida Cruz de Juárez, s/n. 14071 Córdoba";"957340140";"Sí";"30";"";
"CCM Norte > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Norte > Planta 0 > Atención individual";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 0 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 0 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 0 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 0 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Norte > Planta 1 > Atención individual";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 1 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 1 > Consejo de distrito";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 1 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 1 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Norte > Planta 3";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Norte > Planta 3 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur";"Ayuntamiento de Córdoba > Informática";"S017";"Camino viejo de Almodóvar (junto Plaza de toros). 14005 Córdoba";"957761081";"Sí";"30";"";
"CCM Poniente Sur > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Poniente Sur > Planta 0 > Atención individual";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 0 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Poniente Sur > Planta 1 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 1 > Consejo de distrito";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 1 > Igualdad y juventud";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 1 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 1 > Programas de empleo";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 1 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Poniente Sur > Planta 2 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Poniente Sur > Planta 2 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Rafael Villar (El Higuerón)";"Ayuntamiento de Córdoba > Informática";"S053";"Avenida Principal, s/n. 14193 El Higuerón, Córdoba";"957323345";"No";"15";"";
"CCM Rafael Villar (El Higuerón) > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Rafael Villar (El Higuerón) > Planta 0 > Atención individual";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Rafael Villar (El Higuerón) > Planta 0 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Rafael Villar (El Higuerón) > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Rafael Villar (El Higuerón) > Planta 0 > Consejo de distrito";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Rafael Villar (El Higuerón) > Planta 0 > Delegación Alcaldía en Higuerón";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Rafael Villar (El Higuerón) > Planta 0 > Oficina atención al ciudadano";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Rafael Villar (El Higuerón) > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Rafael Villar (El Higuerón) > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Rafael Villar (El Higuerón) > Planta 1 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM San Agustín - BAJA";"Ayuntamiento de Córdoba > Informática";"S101";"Plaza de San agustín, 5";"";"Sí";"0";"2023-12-19 12:48";
"CCM Santa Cruz";"Ayuntamiento de Córdoba > Informática";"S067";"Plaza de Andalucía, s/n. 14820 Santa Cruz, Córdoba";"957378028";"Sí";"3";"";
"CCM Santa Cruz > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Santa Cruz > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Santa Cruz > Planta 0 > C. Barrio";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Santa Cruz > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Sebastián Cuevas";"Ayuntamiento de Córdoba > Informática";"S020";"Calle Doctor José Altolaguirre, s/n. 14071 Córdoba";"957421826";"Sí";"10";"";
"CCM Sebastián Cuevas > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Sebastián Cuevas > Planta 0 > Aulas de Internet";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Sebastián Cuevas > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Sebastián Cuevas > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Trassierra";"Ayuntamiento de Córdoba > Informática";"S066";"Carretera de Trassierra, s/n. 14071 Trassierra, Córdoba";"957730084";"Sí";"3";"";
"CCM Trassierra > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Trassierra > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Trassierra > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Trassierra > Planta 0 > Delegación Alcaldía en Trassierra";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Trassierra > Planta 0 > Junta munic. Distr. Periurbano oeste";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Trassierra > Planta 0 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Vallehermoso";"Ayuntamiento de Córdoba > Informática";"S050";"Pasaje Candelaria Heredia, s/n. 14071 Córdoba";"957460262";"Sí";"15";"";
"CCM Vallehermoso > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Vallehermoso > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Vallehermoso > Planta 0 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Vallehermoso > Planta 0 > Centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Vallehermoso > Planta 0 > Oficina atención ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Vallehermoso > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Vallehermoso > Planta 0 > Servicios centrales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia";"Ayuntamiento de Córdoba > Informática";"S049";"Plaza de la Aljarilla, 15. 14710 Villarrubia, Córdoba";"957458078";"Sí";"20";"";
"CCM Villarrubia > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Villarrubia > Planta 0 > Atención individual";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia > Planta 0 > Aulas de Internet centros cívicos";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia > Planta 0 > C. Barrio";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia > Planta 0 > Consejo de distrito";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia > Planta 0 > Delegación Alcaldía en Villarrubia";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia > Planta 0 > Participación ciudadana";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia > Planta 0 > Servicios centrales (Correo y Reparto)";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia > Planta 0 > Servicios sociales";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CCM Villarrubia > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CCM Villarrubia > Planta 1 > Biblioteca";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CECOSAM Fuensanta";"Ayuntamiento de Córdoba > Informática";"S061";"Carretera N-IV, Km. 394. 14014 Córdoba";"957322125";"Sí";"6";"2022-03-16 14:22";
"CECOSAM Fuensanta > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CECOSAM Fuensanta > Planta 0 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CECOSAM Fuensanta > Planta 0 > Cecosam";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CECOSAM San Rafael";"Ayuntamiento de Córdoba > Informática";"S038";"Avenida de Libia, 2. 14010 Córdoba";"957437595";"Sí";"5";"2022-03-16 14:23";
"CECOSAM San Rafael > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CECOSAM San Rafael > Planta 0 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CECOSAM San Rafael > Planta 0 > Cecosam";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba)";"Ayuntamiento de Córdoba > Informática";"S099";"Av. de la Fábrica";"";"Sí";"0";"2023-03-13 09:38";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta -1";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2024-03-07 12:16";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta -1 > Parking";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2024-03-07 12:27";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-03-13 09:38";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta 0 > CEFC";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-03-13 09:39";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2023-03-13 09:38";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta 0 > Sala Técnica";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2024-03-07 11:47";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2024-03-07 11:45";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta 1 > Sala Técnica";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2024-03-07 12:03";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta 2";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2024-03-07 12:23";
"CEFC (Centro de Exposiciones, Ferias y Congresos de Córdoba) > Planta 2 > Falso techo";"Ayuntamiento de Córdoba > Informática";"";"";"";"Sí";"0";"2024-03-07 12:25";
"Centro de Educación Ambiental";"Ayuntamiento de Córdoba > Informática";"";"Avenida Linneo, 4. 14004 Córdoba";"";"";"";"";
"Centro de Educación Vial";"Ayuntamiento de Córdoba > Informática";"S027";"Avenida de la República Argentina, s/n. 14004 Córdoba";"957203409";"Sí";"15";"";
"Centro de Educación Vial > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Centro de Educación Vial > Planta 0 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Centro de Educación Vial > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Centro de Educación Vial > Planta 1 > Educación e infancia";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Centro de Iniciativas Culturales Osio";"Ayuntamiento de Córdoba > Informática";"S107";"Plaza de Cañero, s/n.";"957431056";"Sí";"0";"";
"Centro de interpretación Patios";"Ayuntamiento de Córdoba > Informática";"S091";"C/ Trueque, 4";"957490223";"Sí";"0";"2023-12-19 12:48";
"Centro de Recepción de Visitantes (CRV)";"Ayuntamiento de Córdoba > Informática";"S028";"Plaza del Triunfo, s/n. 14003 Córdoba";"";"Sí";"5";"";
"Centro Mujer Palmeras - BAJA";"Ayuntamiento de Córdoba > Informática";"S071";"Pza. Vicente Sereno Capellán,13";"957467321";"Sí";"1";"2022-11-15 13:07";
"Centro Mujer Palmeras - BAJA > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:07";
"Centro Mujer Palmeras - BAJA > Planta 0 > Aula multimedia";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-15 13:07";
"Ciudad de los Niños";"Ayuntamiento de Córdoba > Informática";"S085";"Avda. Menéndez Pidal s/n";"957420891";"Sí";"1";"2023-12-19 12:48";
"Colegio Duque de RIvas";"Ayuntamiento de Córdoba > Informática";"S109";"C. Sierra de Grazalema, s/n";"";"Sí";"0";"2025-04-03 13:04";
"Comisaría Conjunta Guadalquivir";"Ayuntamiento de Córdoba > Informática";"S068";"Calle Libertador Juan Rafael Mora, 4. 14013 Córdoba";"957293381";"Sí";"2";"";
"Comisaría Conjunta Guadalquivir > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Comisaría Conjunta Guadalquivir > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Comisaría Conjunta Guadalquivir > Planta 0 > Comisaría Conjunta Guadalquivir";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Comisaría Conjunta Guadalquivir > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Comisaría Conjunta Plaza Judá Leví";"Ayuntamiento de Córdoba > Informática";"S056";"Plaza de Judá Levi, s/n. 14003 Córdoba";"957270760";"Sí";"3";"";
"Comisaría Conjunta Plaza Judá Leví > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Comisaría Conjunta Plaza Judá Leví > Planta 0 > Administración";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Comisaría Conjunta Plaza Judá Leví > Planta 0 > Comisaría Conjunta Juda Leví";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Comisaría Conjunta Plaza Judá Leví > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"Comisaría Conjunta Plaza Judá Leví > Planta 1";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"Comisaría Conjunta Plaza Judá Leví > Planta 1 > Consejo Social de la Ciudad de Córdoba";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CPAPM Alcázar Viejo";"Ayuntamiento de Córdoba > Informática";"S073";"Calle Puerta de Sevilla, 5";"957294573";"Sí";"3";"";
"CPAPM Alcázar Viejo > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM Alcázar Viejo > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CPAPM Alcolea";"Ayuntamiento de Córdoba > Informática";"S074";"Calle Haza del Demonio, 2. 14610 Alcolea, Córdoba";"957321218";"Sí";"4";"";
"CPAPM Alcolea > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM Alcolea > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CPAPM Antonio Pareja García";"Ayuntamiento de Córdoba > Informática";"S083";"Calle Los Chopos, s/n. 14006 Córdoba";"957403536";"Sí";"6";"";
"CPAPM Ciudad Jardín";"Ayuntamiento de Córdoba > Informática";"S076";"Pza. de Vistalegre, 10";"957411442";"Sí";"4";"";
"CPAPM Ciudad Jardín > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM Ciudad Jardín > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CPAPM Complementario Miralbaida";"Ayuntamiento de Córdoba > Informática";"";"Calle Nuestra Señora de Begoña, s/n. 14005 Córdoba";"";"Sí";"0";"";
"CPAPM Duque de la Victoria";"Ayuntamiento de Córdoba > Informática";"S062";"Calle Duque de la Victoria, 4. 14002 Córdoba";"957480441";"Sí";"6";"";
"CPAPM Duque de la Victoria > Planta 0";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:14";
"CPAPM Duque de la Victoria > Planta 0 > Centros mayores";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
"CPAPM Duque de la Victoria > Planta 0 > Sala de máquinas";"Ayuntamiento de Córdoba > Informática";"";"";"";"";"";"2022-11-10 08:19";
