"Nombre completo";"Entidad";"Visible en la interfaz simplificada";"ID";"Complementos - Icono";"Última actualización";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. JEFATURA";"Ayuntamiento de Córdoba > Informática";"No";"184";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. JEFETURNO";"Ayuntamiento de Córdoba > Informática";"No";"185";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. LINEAVERDE";"Ayuntamiento de Córdoba > Informática";"No";"186";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. LISTADOS";"Ayuntamiento de Córdoba > Informática";"No";"187";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. LISTADOSFR4";"Ayuntamiento de Córdoba > Informática";"No";"188";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. MOVILPOL";"Ayuntamiento de Córdoba > Informática";"No";"189";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. OFICIOS";"Ayuntamiento de Córdoba > Informática";"No";"190";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. REGISTROS";"Ayuntamiento de Córdoba > Informática";"No";"200";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. SIP";"Ayuntamiento de Córdoba > Informática";"No";"191";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. SMSEXPRESS";"Ayuntamiento de Córdoba > Informática";"No";"192";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. SMSSERVER";"Ayuntamiento de Córdoba > Informática";"No";"193";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. VESTUARIO";"Ayuntamiento de Córdoba > Informática";"No";"194";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Policía Local > USU-APL-PL. VISORACCESOS";"Ayuntamiento de Córdoba > Informática";"No";"195";"dsi fa usu-apl";"2024-04-29 08:07";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Programas educativos";"Ayuntamiento de Córdoba > Informática";"No";"114";"dsi fa usu-apl";"2022-12-20 11:28";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. REA (Registro Electrónico de Apoderamientos)";"Ayuntamiento de Córdoba > Informática";"Sí";"208";"dsi fa usu-apl";"2025-02-10 12:33";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. SIA (Sistema de Información Administrativa)";"Ayuntamiento de Córdoba > Informática";"Sí";"210";"dsi fa usu-apl";"2025-02-10 12:33";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. SITAC";"Ayuntamiento de Córdoba > Informática";"No";"76";"dsi fa usu-apl";"2022-05-31 14:22";
"Gestión de usuarios > Usuarios aplicaciones > USU-APL. Tablón Edictal Único";"Ayuntamiento de Córdoba > Informática";"Sí";"211";"dsi fa usu-apl";"2025-02-10 12:33";
"Gestión de usuarios > Usuarios Windows";"Ayuntamiento de Córdoba > Informática";"Sí";"15";"fas fa-user";"2022-01-26 17:17";
"Gestión de usuarios > Usuarios Windows > USU-WIN. Alta";"Ayuntamiento de Córdoba > Informática";"No";"17";"fas fa-user";"2022-04-11 14:00";
"Gestión de usuarios > Usuarios Windows > USU-WIN. Baja";"Ayuntamiento de Córdoba > Informática";"No";"18";"fas fa-user";"2022-04-11 14:00";
"Gestión de usuarios > Usuarios Windows > USU-WIN. Cambio de contraseña";"Ayuntamiento de Córdoba > Informática";"No";"68";"fa-key";"2022-04-11 14:00";
"Gestión de usuarios > Usuarios Windows > USU-WIN. Modificación de datos";"Ayuntamiento de Córdoba > Informática";"No";"19";"fas fa-user";"2022-04-11 14:00";
"Gestión de usuarios > Usuarios Windows > USU-WIN. Traslado";"Ayuntamiento de Córdoba > Informática";"No";"64";"fas fa-user";"2022-04-11 14:01";
"Impresión";"Ayuntamiento de Córdoba > Informática";"Sí";"38";"";"2022-02-06 13:46";
"Impresión > IMP. Petición de impresora departamental";"Ayuntamiento de Córdoba > Informática";"Sí";"39";"";"2022-01-26 17:19";
"Impresión > IMP. Petición de tóner";"Ayuntamiento de Córdoba > Informática";"Sí";"41";"";"2022-01-26 17:20";
"Impresión > IMP. Traslado de impresora departamental";"Ayuntamiento de Córdoba > Informática";"Sí";"40";"";"2022-01-26 17:20";
"Incidencia genérica";"Ayuntamiento de Córdoba > Informática";"Sí";"118";"fas fa-user-shield";"2023-03-07 18:34";
"Otras";"Ayuntamiento de Córdoba > Informática";"Sí";"60";"";"2022-01-27 08:56";
"Telefonía";"Ayuntamiento de Córdoba > Informática";"Sí";"1";"fas fa-phone";"2022-02-06 13:46";
"Telefonía > TLF. Línea fija";"Ayuntamiento de Córdoba > Informática";"Sí";"11";"fas fa-phone";"2022-03-13 16:53";
"Telefonía > TLF. Línea fija > TLF-LF. Cambio de titular";"Ayuntamiento de Córdoba > Informática";"No";"13";"fas fa-phone";"2022-11-23 07:51";
"Telefonía > TLF. Línea fija > TLF-LF. Petición de terminal y línea";"Ayuntamiento de Córdoba > Informática";"No";"12";"fas fa-phone";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil";"Ayuntamiento de Córdoba > Informática";"Sí";"2";"fas fa-mobile-alt";"2022-03-13 16:53";
"Telefonía > TLF. Línea móvil > TLF-LM. Alta";"Ayuntamiento de Córdoba > Informática";"No";"3";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Aumento de bono de datos";"Ayuntamiento de Córdoba > Informática";"No";"10";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Aumento de saldo de llamadas";"Ayuntamiento de Córdoba > Informática";"No";"9";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Avería";"Ayuntamiento de Córdoba > Informática";"No";"125";"fas fa-mobile-alt";"2023-04-25 14:19";
"Telefonía > TLF. Línea móvil > TLF-LM. Baja";"Ayuntamiento de Córdoba > Informática";"No";"4";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Cambio de titular";"Ayuntamiento de Córdoba > Informática";"No";"5";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Configuración de terminal";"Ayuntamiento de Córdoba > Informática";"No";"7";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Devolución de terminal";"Ayuntamiento de Córdoba > Informática";"No";"93";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Petición de terminal";"Ayuntamiento de Córdoba > Informática";"No";"6";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Portabilidad";"Ayuntamiento de Córdoba > Informática";"No";"112";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Renovación de terminal";"Ayuntamiento de Córdoba > Informática";"No";"8";"fas fa-mobile-alt";"2022-11-23 07:51";
"Telefonía > TLF. Línea móvil > TLF-LM. Roaming";"Ayuntamiento de Córdoba > Informática";"No";"126";"fas fa-mobile-alt";"2023-04-26 09:51";
