"Nombre completo";"Entidad";"Visible en la interfaz simplificada";"ID";"Complementos - Icono";"Última actualización";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. ABANDONADOS";"Ayuntamiento de Córdoba > Informática";"Sí";"135";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. ARMAS";"Ayuntamiento de Córdoba > Informática";"Sí";"136";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. BARRIO";"Ayuntamiento de Córdoba > Informática";"Sí";"137";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. BUSCACALLES";"Ayuntamiento de Córdoba > Informática";"Sí";"138";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. CMC";"Ayuntamiento de Córdoba > Informática";"Sí";"139";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. DEPOSITO";"Ayuntamiento de Córdoba > Informática";"Sí";"140";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. DILIGENCIAS";"Ayuntamiento de Córdoba > Informática";"Sí";"141";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. EDITINCIDENCIAS";"Ayuntamiento de Córdoba > Informática";"Sí";"142";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. ESCUELA";"Ayuntamiento de Córdoba > Informática";"Sí";"143";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. EXPEDIENTES";"Ayuntamiento de Córdoba > Informática";"Sí";"144";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. EXPEDIENTESVDG";"Ayuntamiento de Córdoba > Informática";"Sí";"145";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. FERIA";"Ayuntamiento de Córdoba > Informática";"Sí";"146";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. GESPERSONAL";"Ayuntamiento de Córdoba > Informática";"Sí";"147";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. GESTIONES";"Ayuntamiento de Córdoba > Informática";"Sí";"148";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. HOJASRUTA";"Ayuntamiento de Córdoba > Informática";"Sí";"149";"far fa-window-restore";"2024-04-29 08:07";
"Aplicaciones > APL. Corporativas > APL-COR. Policía Local > APL-COR-PL. INCIDENCIAS";"Ayuntamiento de Córdoba > Informática";"Sí";"150";"far fa-window-restore";"2024-04-29 08:07";
